Touched Date,Utm Medium,Utm Source,Utm Campaign,# Demo Occurred,# Sales Qualified Opportunity,# Closed Won Opportunity
2023-10-29,paid-search,google,nam-t1_acq_searchnonbranded_google_search_countryhire--_gh_all,2.5,0,0
2023-10-29,paid-listicle,peoplemanagingpeople,ww_acq_prosp_pmp_paidlist_cadpayroll-pmp-__all,2.5,2.5,0
2023-10-29,paid-social,facebook,nam-t1_consider_calculate_fb_image_all-reengage-__all,2.4,0,0
2023-10-29,paid-search,google,emea-t1a_acq_searchnonbranded_google_search_payroll--_gp_all,0,0,0
2023-10-29,sponsored-newsletter,hrci,ww_engage_download_hrci_sponnewsletter_hr-hrbundle-oct23_hr_all,0,0,0
2023-10-29,email-newsletter,inside.com,,0,0,0
2023-10-29,paid-search,google,emea-t1b_acq_searchnonbranded_google_search_payroll--_gp_all,2.2,0,0
2023-10-29,email,hs_automation,ww_operat_oneoff_hsauto_doubleopt_--__all,0.9,0,0
2023-10-29,paid-search,google,apac-t1_acq_searchbrand_google_search_exact--__all,2.2,1.2,0
2023-10-29,paid-listicle,peoplemanagingpeople,ww_acq_prosp_pmp_paidlist_freehr-pmp-smb_hr_all,2.7,0,0
2023-10-29,paid-social,facebook,latam-t2_consider_download_fb_image_general-reengage-es__all,0,0,0
2023-10-29,paid-search,google,emea-t1a_acq_searchnonbranded_google_search_hris--_hr_all,0,0,0
2023-10-29,paid-social,facebook,ww_fb_download_a/b-test,0,0,0
2023-10-29,display,google,emea-t1a_consider_download_google_dis_general-reengage-discovery__all,0,0,0
2023-10-29,paid-search,google,emea-t1a_acq_searchbrand_google_search_broad--__all,0,0,0
2023-10-29,paid-social,facebook,nam_engage-consideration_download,0,0,0
2023-10-29,paid-social,linkedin,emea-t1b_consider_download_li_image_ghic-reengage-lgf__all,0,0,0
2023-10-29,paid-social,linkedin,nam-t1_acq_rtg_li_conversation_general-rtgall-__upmment,2.4,0,0
2023-10-29,paid-listicle,peoplemanagingpeople,ww_acq_prosp_pmp_paidlist_hrms-pmp-hrmgmt_hr_all,5.4,0,0
2023-10-29,paid-search,google,emea-t3_acq_searchbrand_google_search_broad--__all,0,0,0
2023-10-29,paid-social,linkedin,nam-t1_consider_download_li_image_gmobil-reengage-lgf__all,0,0,0
2023-10-29,paid-search,google,nam-t1_acq_searchbrand_google_search_broad--__all,2.1,2,0
2023-10-29,paid-search,google,emea-t1a_acq_searchnonbranded_google_search_countryhire--_gh_all,3.1,0,0
2023-10-29,sponsored-newsletter,paved,nam-t1_engage_download_paved_sponnewsletter_topic-nativenewsads-paved__all,0,0,0
2023-10-29,paid-listicle,selectsoftwarereviews,ww_acq_prosp_ssr_paidlist_hrsoftware--__all,0,0,0
2023-10-29,paid-social,linkedin,emea-t1b_acq_prosp_li_image_all-sfdc-lgf__smbmm,0,0,0
2023-10-29,display,google,latam-t2_consider_download_google_dis_generalreengage-es-discovery__all,0,0,0
2023-10-29,display,google,latam-t1-br_consider_download_google_dis_generalreengage-pt-discovery__all,0,0,0
2023-10-29,pdf,gated_assets,ww_consider_download_gated_guide_--everythingeoraguidetoemployerofrecord_gheor_all,0,0,0
2023-10-29,paid-social,facebook,nam-t1_acq_prosp_fb_image_lal1-abtest-gpq4c__all,0,0,0
2023-10-29,paid-social,linkedin,emea-t2_engage_download_li_image_all-sfdc-lgf__upmment,0,0,0
2023-10-29,referral,deel.com,,2.6,3.2,0
2023-10-29,paid-search,bing,nam-t1_acq_searchnonbranded_bing_search_payroll--_gp_all,0,0,0
2023-10-29,paid-social,facebook,emea_engage-consideration_download,0,0,0
2023-10-29,paid-social,linkedin,nam-t1_acq_prosp_li_extleadform_BookADemo--__all,0,0,0
2023-10-29,paid-search,google,nam-t1_acq_searchnonbranded_google_search_eor--_gheor_all,1.6,1,0
2023-10-29,paid-social,facebook,emea-t1_acq_rtg_fb_image_general-rtgall-__all,3.1,2.1,0
2023-10-29,paid-search,google,nam-t2_acq_searchnonbranded_google_search_hris--_hr_all,0,0,0
2023-10-29,paid-search,google,emea-t1a-gb_acq_searchbrand_google_search_broad--__all,2,2,0
2023-10-29,paid-search,google,nam-t1_acq_searchnonbranded_google_search_competitors--__all,0,0,0
2023-10-29,paid-search,google,nam-t1_acq_searchnonbranded_google_search_payroll--_gp_all,2.8,0,0
2023-10-28,paid-search,google,emea-t1a_acq_searchnonbranded_google_search_payroll--_gp_all,0,0,0
2023-10-28,display,google,nam-t1_acq_rtg_google_dis_general-rtgall-__all,1.3,0.9,0
